"Type.Of.Traveler","Seat.Type","Date.Flown","Recommended","Seat.Comfort","Cabin.Staff.Services","Food.Beverages","Inflight.Entertainment","Ground.Service","Wifi","Value.For.Money","Reviews","Total.Ratings","Verification","Origin","Destination"
"Business","Economy Class","11-21","no",3,4,1,2,3,1,2,"  I fell asleep on the flight and my mask came down under my nose. They woke me up to put my mask over my nose. I went back to sleep and it happened again. After being harassed by not one but 3 flight attendants, they had a red coat pull me aside once we landed and barade me some more. They even threatened to kick me off of the next flight if I didn't sit there and take it. I'm comfortable with the fact that I will never fly with them again. I knew I should have flown on Southwest. ",2.28571428571429,"Not Verified","Lima","Atlanta"
"Family Leisure","Economy Class","07-21","no",3,4,5,1,2,3,4,"  Flight from Miami arrived late in Atlanta. We (around 6 people) got to the gate 8 mins before the departure time with all other people’s help and hustle. However door was shut and none of delta agents were willing to help. After we saw the flight left, the agent came out with indifference. We knew he gave away seats, but he was absolutely not concerned about us. Especially this gate agent was the worst one ever. It is just sad airline treat customers this way..",3.14285714285714,"Not Verified","Fargo","Portland"
"Solo Leisure","Economy Class","11-21","no",1,2,3,4,1,2,3,"  Can't say enough wonderful things about the staff at Delta. Our day started as a nightmare due to not having covid PCR test results in time in order to fly back to Canada. The check-in rep, flight crew, and customer service team on the phone all went out of their way to help us find solutions to get home that day, and we couldn't have done it without you. Thank you so much to the Delta staff at all touch-points.",2.28571428571429,"Not Verified","Milwaukee","Atlanta"
"Couple Leisure","Economy Class","11-21","yes",4,5,1,1,2,3,4,"  I purchased first class for my birthday trip on my way home I was in the airport (yes I had downloaded their app) they cancelled my flights and rebooked me for the next day with no notifications or emails or texts or phone calls. When I spoke to an agent they put my on another flight home in coach and had no clue where my luggage would end up. I made it home had to call customer service took 1.5 hours. All they are going to refund me is $60!! Do not fly Delta, worst airline.",2.85714285714286,"Not Verified","Minneapolis","Amsterdam"
"Family Leisure","Economy Class","11-21","no",1,2,3,4,1,1,2,"  During these Covid times one would expect greater care for cleanliness, however I found that on getting to my seat in Delta One, the whole area was dirty. There were crumbs and bits of food all over the tray table and seat. What's worse is I wrote a complaint to Delta and never received a reply. I sent another message to them two months later and still no reply. As a Platinum frequent flier I am very disappointed in Delta. When you pay $10,000 for a one way flight I expect to be treated better. It seems they do not care about my business.",2,"Not Verified","Atlanta","Puerto Rico"
"Business","First Class","11-21","no",3,1,1,2,1,2,3,"It was terrible. They literally gave me the wrong gate number on the e-pass. Even worse is I had to rebook and miss work because these people have such slow customer service. I had to repeat my name at least 4 times to the guy at the help desk. I mean really these guys are the worst and honestly, I would never fly them again.",1.85714285714286,"Trip Verified","Eugene","Seattle"
"Solo Leisure","Economy Class","11-21","no",4,1,2,3,4,5,1," My husband and I were flying home to Massachusetts to spend Thanksgiving with my brother. We purchased our refundable ticket online and checked refundable. Refundable was quite a bit more than nonrefundable. When our tickets printed it didn’t have refundable on it it had the fine print about a nonrefundable ticket. Called Delta and they confirmed it was refundable so I did not purchase insurance. We were originally supposed to go via Minneapolis to Hartford but Delta changed Minneapolis to Atlanta to Hartford. Call them to see if we could just go Seattle to Atlanta to Hartford since we would’ve been connecting with the Atlantic flight anyway. They said yes and told us we would be getting a refund of $233 per ticket. Well they ended up giving us a credit because they said we had a nonrefundable ticket. Galls me that they take your money and then don’t want to give out back. I do not want the credit I want a refund. Contested it with charge company which credited my account but then Delta said no we had a nonrefundable ticket so our charge company charged it back. Next time I buy it airline ticket on any airline I will make a screenshot of every step to the purchase so I can prove that I bought a refundable ticket just based on the price.",2.85714285714286,"Not Verified","Durango","Houston"
"Solo Leisure","Economy Class","11-21","no",2,3,4,5,1,2,3," I am always completely let down when my company books a Delta flight for me. This airline is a complete joke when it comes to customer service. About as rude and unprofessional as you could get. This includes help at the airport as well as the flight attendants. ",2.85714285714286,"Not Verified","Newark","Paris"
"Couple Leisure","Economy Class","11-21","no",4,5,1,2,3,1,2,"Connecting fight was canceled due to “weather” which didn’t make any sense as many other flights the same direction were taking off. Delta offered no lodging even though the only flight offered wasn’t for almost 15 hours later. The airport won’t let you stay in a secure area. I have no idea where I am and no Delta personnel seem to care. It’s cold and I’m sitting on the floor in the front the airport with no type of security till the airport reopens. This is how Delta treats their sky priority first class ticket holders!",2.57142857142857,"Trip Verified","Los Angeles","San Francisco"
"Couple Leisure","Economy Class","10-21","no",3,4,5,1,1,2,3," My flight was scheduled to depart from Boston to LAX. The flight got delayed, I called customer service and spoke to supervisor Andrew who talked to me like a machine and did not help me at all. He basically sounded like he wanted to hang up on me. Worst customer service ever. If you are flying national, please use American Airlines or another airline. Worst experience ever.",2.71428571428571,"Trip Verified","Austin","Amsterdam"
"Family Leisure","Economy Class","11-21","no",1,2,3,4,5,1,1," This is by far the worst experience with Delta. The head flight attendant and another flight attendant were the rudest people I’ve ever encountered. I was in premium and my husband was in delta comfort. When we boarded I asked my husband to sit next to me since I have anxiety with take off. The plane was half empty. She approached us almost scolding at my husband for not being in his seat and snatched the headphone away. It wasn’t about the seat being premium since the amenities were subpar to begin with. I’m not upset because of him going back to the seat but they were horrific and rude about it. They were both hostile towards me in a condescending tone.  As we were about to land my husband moved up so that he could retrieve the luggage from the overhead bin but the head flight attendant stormed over and said he could not sit there. I asked for her name and she raised her voice saying that she did nothing wrong.  As I was getting off the plane she told me to wait for a customer service person to speak to me. After a 10 hour flight the last thing I want is to wait even longer at the airport. She then responded with ‘whatever’. I’m horrified with her unprofessional behavior. I’d never fly with Delta again if that’s the representation of their service. The bathroom was disgustingly dirty as well. Considering they are the most expensive flight going to Europe there’s no value in it at all.",2.42857142857143,"Trip Verified","São Paulo","Atlanta"
"Couple Leisure","Business Class","11-21","no",1,2,3,1,1,1,1,"  Normally I like Delta. But it has become like Spirit: Charge you for the ticket, charge you for the seat, charge you for one bag. Charge you for changing your flight. I might as well fly Spirit and save some money.",1.42857142857143,"Not Verified","Tel Aviv","New York"
"Family Leisure","Business Class","08-21","yes",1,1,1,1,1,1,2,"  I was aware that Delta was Virgins US partner, and quite expected to fly Delta internally, the flight from Atlanta to New Orleans and return. What I did not expect was the flight booked with Virgin internationally would be with Delta also. The whole point of booking with Virgin was to travel with Virgin. I will be asking questions of them also. I was not told there would be a change until it came time to check in, and by then I could not change without losing money. Delta check in was OK. The crew seemed impatient at passengers taking their time to sit down and get comfortable. One female crew member was quite rude and sarcastic. Food was atrocious, and on an 8 to 9 hour flight we had one meal, and a snack. I talked to another passenger and she agreed, they didn't feed us very much. The flight itself was fine, and the crew member I had was lovely. My point being: Crew was not welcoming or even enthusiastic. Your passengers might have saved for the two years of Covid, looking forward to their holiday, encountering this experience, and dreading their return flight. The change from Virgin to Delta - I know this may not be your fault. The overall Delta experience was just not pleasant, and it should at least be that. I fly enough to know the good from the bad from the reasonable, and this experience was somewhere between the last two. Virgin on the way back, a whole other story - beautiful uniforms, young, helpful crew, nothing was too much trouble, even went an extra mile or two when I said I was slightly claustrophobic, and went out of their way to make sure I was comfortable. I really want to fly with Virgin again, but if I know that journey will also include Delta? I might seriously think twice.",1.14285714285714,"Not Verified","Los Angeles","New York"
"Solo Leisure","First Class","11-21","no",3,1,2,3,1,2,3," Both our flight to and our return flight where very uncomfortably and unbearably hot. The attendants focused too much on the masks on and not enough on our comfort. On the return flight we were extremely thirsty, as they only provided drink beverages once vs twice as they did on our first flight. Which just amplified the fact that everyone was very hot. Horrible air circulation. Also, we checked our bags in using the Kiosk, only to find out we still had to make the long counter lines to check in bags. Because they were short staffed. Very disappointed on the service, definitely not he Delta airlines we were used to.",2.14285714285714,"Not Verified","Atlanta","Buffalo"
"Family Leisure","Economy Class","11-21","no",1,1,1,1,1,2,3,"  Frontier cancelled our flight, and after rebooking with Delta we realized that the Frontier ticket agent had kept our negative Covid paperwork. The Delta agents were amazing! The gate agent calmed me down, and booked us on the next flight, the ticketing agents found us seats and walked with us to expedite security so that we would make the boarding after obtaining our luggage from Frontier. The Delta staff in Punta Cana made a nightmare travel situation better. I had purposely avoided Delta when the became “political” but this experience will make me reconsider.",1.42857142857143,"Not Verified","Orlando","Atlanta"
"Solo Leisure","Economy Class","11-21","no",4,1,2,3,4,5,1," I’m on flight 1535 from Orlando to Atlanta. the plane is 757-200 and when my family and I boarded a very nasty lady at the boarding gate asked us to check out bags. This means she allowed all previous passengers to board with more than a carry on. We have 3 small carry on we used to flight light from EWR to MCO to spend the weekend. If this is the service Delta provides then is very poor and unacceptable. We are trying to go back to reality and back to traveling. If Delta doesn’t know how to instruct the employee so that the rules are valid for some passengers only then it is useless to be a member, to have delta Amex cards and to try to support what I thought was a good airline.",2.85714285714286,"Trip Verified","Green Bay","Calgary"
"Family Leisure","Economy Class","11-21","no",2,3,4,5,1,2,3," I purchased airline tickets with Delta last April and had to cancel them due to Covid-19. When I was issued the credit I was told that I would have access to the whole credit for future travel no matter who was flying. When I tried to use my credit today I was told that I was only allowed to use a portion of the credit because of the way the agent issued the credit. I was also told that if the other passengers would lose the credit. I paid for the tickets with my credit card and was told that I was able to use the whole credit. I’m not a happy customer and don’t plan on using Delta Airlines again. It’s not fair that I was told one thing at the time of the cancelation and then told something else when I tried to use the credit today. I’m losing a lot of money and very upset about it.",2.85714285714286,"Not Verified","Orlando","Atlanta"
"Solo Leisure","Premium Economy","07-21","no",4,5,1,2,3,4,5,"First, I don't quite understand the overwhelming number of horrible ratings on United in particular and US carriers in general. I am not sure if I was lucky or I am not demanding, but my experience with the airline was quite fine so far (knock on wood). It is certainly not top notch but not horrible either. I, for sure, have encountered unpleasant experiences, but that happened to me even with the best rated airline. I think US carriers' weak spot is ground operations, with so many short, small flights that are plagued with delays, cancellations and gate changes (Asian full-service carriers use wide-body aircrafts even on one-hour flights). Now, here is my opinion about this particular flight. Ground service at EWR for Premier class was seamless but not exemplary, and that was certainly below the level of Delta One. In-flight hard product was where this flight shined. The 787-10 was shiny and clean. The Polaris seats were comfortable, spacious, and last but not least, provided a great deal of privacy. This was one of, if not the best equipment for a 5-6 hour flight I ever experienced, even when compare with intra-Asia business class from top rated airlines. On board staff were pleasant and accommodating. Food choices were limited, but I can see improvement on the taste. Food service and presentation was not quite at, though were inching back to, pre-pandemic level. The flight departed on-time and arrived early, but we were still late as we had to wait for our arriving gate, a LAX signature. The IFE screen was nice and responsive, though movie selections were not as good as what on Delta. Overall, I have no complaints.",3.42857142857143,"Trip Verified","Austin","Salt Lake City"
"Family Leisure","First Class","10-21","yes",1,2,3,4,1,2,3,"  I needed to call Delta due to them being unable to add my lap infant online when I tried. When I called they said the hold time would be 5 hours. As I said, I have a small infant and needed to make sure this was done so I had no choice but to wait the time. Unlike other businesses that are all understaffed they do not give you the option to keep your place in line and receive a call back like everyone else. The fact that they feel somehow like people that are spending hundreds of dollars with them have the ability to do nothing else that sit and listen to hold music. The kicker to this is after 3 hours and 47 minutes yes, it just hung up on me. I will never, ever in my life fly this airline again. You can push people only so far Delta.",2.28571428571429,"Not Verified","San Diego","Atlanta"
"Couple Leisure","Economy Class","10-21","no",4,5,1,1,1,1,1," Such a bad service. I have been waiting for 4 hours because just because one of the crew didn’t arrive on time. Its really hard and I have to cancel and reschedule all of my connection flight and none of crew members give a clear explanation.",2,"Trip Verified","Spokane, WA","Seattle, WA"
"Couple Leisure","Economy Class","10-21","no",1,2,3,4,1,2,1,"  Actually have not had this flight yet, happens tomorrow. My complaint is with their app and their customer service. I needed to catch an earlier flight out of Pittsburgh due to weather and I wanted to get home earlier. The weather actually forced me to wait until it was within 24 hours of the flight. The app has an option for changing your flight within 24 hours built into the UI. It allowed me to go all the way through putting in my CC number and billing info and repeatedly would not work. Now mind you, this is the second time this has happened to me using Deltas app. On both occasions, I had to reach out to customer service for help, and as most of you know who have ever had the displeasure of having a need for their help, you can expect to wait a long time. So after waiting 2 hours for them to reach out to me via their text messaging service, the seats that were available 2 hours prior were gone and the flight I needed was fully booked. How they can honestly say thanks for being the best part of Delta after providing terrible service is beyond me. Most likely will not use Delta again. I need better flexibility in my travel than they can apparently provide.",2,"Not Verified","San Francisco","Boston"
"Couple Leisure","Economy Class","09-21","yes",1,1,1,1,1,1,1," Recent changes has made this airline very unfriendly. If you buy a basic economy, the lowest fare, you have to pay a penalty of about $90 if you change or cancel the flight. No exception even if you get Covid. No mileage added for this kind of ticket. It's impossible to talk or chat with a live person. The wait is usually over an hour no matter when you call. It's no longer my preferred airline.",1,"Not Verified","Cancun","Raleigh"
"Couple Leisure","Premium Economy","10-21","no",2,3,4,1,2,3,4," AA stranded us in Minneapolis and so Delta Airlines stepped up to get us to Fargo. I was impressed so when approached to complete a survey, I quickly complied! I filled out every page and raved about the quote displayed on the Delta monitors ""Kindness and patience go a long way!"" Then, I had an issue .and a scene was displayed. We had been left in Dallas on the runway by AA due to de-icing problems, not allowed to retrieve our luggage, rented a room there, returned to DFW in the morning and flown to MSP at noon and then nothing. A plane full of people who paid top dollar to fly to Fargo and couldn't. Delta promised to get us home, but not without drama. My husband was able to get out on the 3:30 flight but my grandson and I had to fly standby for the 7:40 flight which we didn't make so we had to wait for the 11:50 pm flight. I went up to the desk for clarification on a confirmed seat and presented the gate agent the paper ticket and she said ""I don't know what that is!"" so I dropped it on the desk for her to punch in the computer to which she replied ""this isn't a trash can honey"" I was shocked and so was my Grandson. Disrespectful, rude. When we went back to get her name, a Burgundy jacket Delta rep asked why I wanted her name and then told me no. Then said it wasn't his area and went to the next desk. Unbelievable. Very disappointing.",2.71428571428571,"Trip Verified","Atlanta","Honolulu"
"Family Leisure","Economy Class","10-21","yes",5,1,2,3,4,1,2,"I bought business class tickets for the comfort it provides especially flying internationally. My connecting flight from JFK to SDQ not only got delayed, but it got changed and I got downgraded to economy class. Needles to say, if it wasn’t out of necessity, I would not be flying with Delta. Gave them a chance and I got let down, again.",2.57142857142857,"Trip Verified","Baltimore","Salt Lake City"
"Business","Business Class","10-21","no",3,4,5,1,2,3,4," Delta has made it the norm to disappoint travelers. I understand that we are experiencing a global pandemic, but it is getting ridiculous. Travelers rely on this airline to be reliable. They have not. Delayed flights are the norm; we were just taken back to the gate after sitting in the tarmac for over an hour with absolutely no information of the issue. Either get the organization right or quit accepting the money from travelers to only disappoint. This is becoming the norm and getting really old and disappointing.",3.14285714285714,"Not Verified","Chicago","Minneapolis"
"Family Leisure","Economy Class","10-21","no",5,1,2,3,4,1,2," Worst Experience ever! I was flying on 01/28/22 from New Orleans to Raleigh. On my trip to Atlanta, I spent 10 hours in the airplane. They added fuel twice and diverted us to Huntsville, AL. Than they dumped us at 1:00am in Atlanta. No gate agent, no support, nothing. I spent the night at the airport. It is Saturday 12:00pm. I was confirmed on an 11:10am flight and now they can't get the flight crew together because they did had enough sleep. I did not sleep at all, since yesterday morning! How unprofessional can you be. I travel every weekend and have no desire to spend my free time at the airport. Do you pay me for the day I lost Delta? No Delta for me until they figure out how to run their business!",2.57142857142857,"Trip Verified","Oklahoma City, OK","Bismarck, ND"
"Family Leisure","Economy Class","10-21","no",3,1,2,3,4,1,2," First class priority boarding. You get on a bus with everyone else. All those who got on the bus after you did get off first and take up all the overhead bin space. So glad I paid for a first class ticket. This is wrong on every level of customer service. Shame on you Delta. I have to gate check because your staff is to shy to ask those you stuffed there bags in first class overhead to remove and gate check those bags.",2.28571428571429,"Not Verified","Los Angeles","Washington"
"Family Leisure","Economy Class","10-21","yes",3,4,5,1,2,3,4,"Was diverted from Atlanta to Birmingham. No customs agents on hand, Crew timed out, still stuck on plane 5 hours and counting with no end in sight. No food offered, no drinks offered for last 2 hours. Complete chaos of a situation. If this was a NYC to Atlanta flight. I am sure things would have been handled differently, but from Mexico City, ahh let them rot on tarmac.",3.14285714285714,"Trip Verified","Lewiston","Omaha"
"Couple Leisure","Economy Class","10-21","no",5,1,2,3,4,5,1," If you don’t have enough overhead space, maybe make the the folks with bigger bags check? Changing my flights constantly so I now have a 5 hour layover. Longer than the flight times put together. Truly garbage customer service. On top off boarding passes not have the gate on them. This is the worst experience on a trip ever. I thought I’d give them a try but it was a huge mistake.",3,"Trip Verified","Los Angeles","Seattle"
"Solo Leisure","Economy Class","09-21","no",2,3,4,1,2,1,2," When it comes to them answering calls for me to book a flight there’s no problem. When I wanted to make a complaint, they say there’s 3 1/2 hours or more of hold time, and with multiple attempts, I always get disconnected after about an hour or so on the phone. I tried to do it through text and online, but still no one wants to help me. They refer me back to the phone number, which doesn’t let me connect to a live rep. There were multiple issues with my connecting flights, costing me an extra $2000 to get home. There’s a huge laundry list of other issues but I don’t have all day to write them down. Suffice it to say I will try using a different airline than Delta, they were horrible.",2.14285714285714,"Not Verified","Sacramento","Atlanta"
"Business","Economy Class","08-21","no",1,2,1,2,1,1,2," I would like to tell you about the wonderful person who helped me, Grace Marie. She was very accurate, courteous, eager to help me, and very nice. I needed confirm that my KTN # and Sky Miles # were added to my ticket. Priceline had assured me they were. Well they were not. Grace Marie with Delta Airlines took care of everything for me. She was a breath of fresh air after the hours I had spent on the phone with my rental car agency and Priceline. ",1.42857142857143,"Trip Verified","Portland","Boston"
"Couple Leisure","First Class","10-21","no",1,2,1,1,1,1,1,"  Disappointing to fly Delta. All four flight segments were late, some critically. Paid for First Class and that was a mistake, I will never do that again with this airline. Rather than make a laundry list of all the issues we encountered, suffice to say that it became a high stress trip and it should not have been. Avoid paying for upgraded seats on Delta domestic flights, it comes with nothing, it’s a bus ride, nothing more. I will try to avoid this airline when possible on future trips.",1.14285714285714,"Not Verified","Los Angeles","Kona"
"Solo Leisure","Economy Class","10-21","no",1,1,1,2,3,1,2,"  Booked a trip from Colorado Springs to Honolulu with a connection through SLC. Arrived to SLC to find out that my flight to Honolulu was delayed by 7 hours 40 minutes. Went to help desk to ask about other options and was told that there were no options. Since I have time I look myself, I go back and ask about the multiple options I found and they finally agreed to look. They then tell me I can go through Seattle so I reluctantly agree. When I asked about my seat upgrade I paid for they just laughed and told me to ask about it at the gate. They booked both flights with a middle seat when there were plenty of options. I am currently sitting in the plane to Honolulu waiting for them to figure out which flight attendant staff will be joining us because they want ours to go to South Korea instead. Fully loaded plane ready to go! Told us it would be 30 minutes and has been almost an hour. This airline is the absolute worst for customer service and logistics. Not once was I treated with respect or sincerity. I will never fly Delta again. And to think these airlines are the first to cry for bailout money when things get tough only to layoff their staff and jack prices up all while quietly buying back stock options. ",1.57142857142857,"Not Verified","Northwest Arkansas","Atlanta"
"Couple Leisure","Economy Class","10-21","no",3,1,2,3,1,2,3," We were supposed to depart 11:30am in January 21 2022 they did not ensure that the plane was properly heated and the pipes were frozen, so after boarding and waiting for an hour they made us all de board and kept pushing back our flight. Our new departure time changed from 12:45pm to 1:45pm to 2:20pm and then 4:15pm. Absolutely unacceptable. Delta will do almost anything to not refund you your money. I’ve only ever flown with them twice and both experiences were dreadful. I don’t even know how they have a 4/10 review rating because it needs to be at 0. I’m completely done with Delta they’re just not worth all the hassle and obstacles. We were flying domestic and they don’t seem able to handle such trips.",2.14285714285714,"Not Verified","Miami","Detroit"
"Couple Leisure","Economy Class","10-21","yes",1,1,2,3,1,1,2," Flew Delta from Orlando to New York. Flight was delayed 20 min due to ""short staff"" as told by the pilot on intercom system. Arrived in New York 30 minutes late then had to wait another 15 minutes to be taxied to tarmac. The pilot then came on the intercom and stated ""nothing we can do we are short staffed just waiting on taxi to tarmac"". We missed our plane connecting to BWI. We were told to go to help desk. When we got to help desk they offered a plane ticket for 6.5 hours later with a 15.00 food voucher for 2 people to eat at the airport. We asked for a supervisor, the lady told us to stand aside. We were then told that the supervisor was busy on the phone right now and there was nothing else they could do. We complained then the supervisor came out and told us that it was not Deltas fault. I said your pilot told us you were short staffed, I said so are you. She said I can’t give out that information. It was unbelievable how we were treated and Delta did not take responsibility at all for us sitting at the airport for an extra 6.5 hours due to their own fault. Never again will I use this airline. This is not how I want to end my vacation. Due to the high cost of tickets the way this whole situation was handled unprofessionally. First and last time this family will use Delta.",1.57142857142857,"Trip Verified","Denver","Detroit"
"Couple Leisure","Economy Class","10-21","yes",3,4,5,1,2,3,4," Very bad experience. Delete flight time to later time just like that, that is make missing connection flight. Before boarding started tagging my bag to the final destination. They do not care you are missing connection flight and can has no bag finally in the hotel. They do not listen you problem. Delta is really bad and sad experience but charging much like a good service. Broken day! Crew on board has last 2 rows empty but did not allowed to seat there in case to feel more space, even in that bad situation. Use Delta only like last call",3.14285714285714,"Not Verified","Minneapolis","Miami"
"Solo Leisure","Economy Class","10-21","no",5,1,2,3,4,5,1,"  Had to change my flight due to a family emergency. I thought I had completed it (at no charge) but when I got to the airport they could not find my new flight or my original departure flight. After some searching it was determined that in my haste to change the flight I inadvertently changed the time only but on the original date. Because I had already changed it once I was going to have to pay for the second change. She took the time to speak to a manager and figure it out. Non-stop to my destination without an extra charge. Totally a positive outcome!",3,"Not Verified","Salt Lake City","Redmond"
"Family Leisure","Economy Class","10-21","no",2,3,4,5,1,2,3," We were traveling from Honolulu to Austin via LAX. The flight was overbooked so Delta asked for volunteers to give up their seats. My wife and I said what the heck, let’s do it. Another night in Honolulu! Well, Delta gave us each $1500, a free night at the Marriott resort downtown, and free round trip transportation to and from the hotel. The young Delta employee at the gate was most helpful (in spite of the late hour). In the process we hired an Uber driver who was a charm. He was Korean and spoke little English, but enough to get us to the Marriott. Once we arrived, he helped us with our bags, and told us he would be there to pick us up the next morning. We told him that we had to be at the airport at 6 am and he said no problem. The next morning, sure enough, he was there waiting for us, with donuts as a treat! We tipped him nicely. BTW my wife bought an Oculis with the money, and booked us on another flight to Honolulu (our son, daughter-in-law and young grandson live in Honolulu). Thanks, Delta, for a really great time and for meeting some great people!",2.85714285714286,"Not Verified","Boston","New York"
"Couple Leisure","Economy Class","09-21","no",4,5,1,2,3,4,5," I paid the extra several hundred dollars for the Delta comfort plus ticket because of the advertised comfort items that are said to be provided. Being 5 foot tall, the extra legroom was not a factor for me in my purchase. What was a factor was the comfort items said to come with this premium seating; a pillow, blanket, etc. I was very disappointed to be told on both of my delta flights that neither a pillow nor a blanket could be provided to me. I was actually very uncomfortable the entire flight as it was very cold and there were no pillows and blankets that I could get, even though that is the entire point of comfort plus seating.",3.42857142857143,"Not Verified","Seattle","Boston"
"Family Leisure","Economy Class","09-21","no",1,2,3,4,5,1,1," To enter St. Lucia, on a very long awaited Caribbean vacation, we had to jump through a lot of hoops online, because of Covid restrictions. Arriving at the airport in Hartford at 3am on Sunday, December 5, we found that we had not printed out the final authorization from the government authorizing our entry into the country, though it was on our phones. The Station Manager was ever so patient and kind and smart, because it was not easy to download them, and print them on Delta's printer, which we sent using her email. After quite a bit of trying, she met us at the gate to continue attempts until she finally succeeded in printing the forms out for us. She literally saved our vacation. The rest of the Delta staff, on all 4 legs of our trip, coming and going to St. Lucia were also patient, courteous and professional. The flights were clean and on time and reasonably comfortable. They had Peloton meditation and chair yoga videos as part of their on line entertainment, which I enjoyed. In this very stressful time for air travel, it is nice to have only good things to say about these flights, and this airline. We plan to switch our frequent flyer mile credit card to them. The snacks and beverage were standard airline basic but the people serving them were great.",2.42857142857143,"Trip Verified","Detroit","Detroit"
"Solo Leisure","Economy Class","09-21","no",2,3,4,5,1,2,3," Took a flight from Columbus to Bogota on 12/21/2021 and the seats was really uncomfortable for a 5 hour trip. I paid for my luggage overweight and I was told that it was going to cover my return trip back to Columbus on the 1/6/2022. On that day my flight was scheduled for 11:30 PM depart the flight got delay to 1:30 am plus. I got charge $200.00 dollars for my luggage again and I told them that I have already paid for that they didn't care about it, then to make things worst they cancel my second flight from JFK to Columbus which now instead of been on time I needed to wait for 9 hours at the airport for the next flight. I asked a lady from Delta to see if they have another flight that I can catch, she was very disrespectful told, she didn't care that I needed to go to ticketing on the first floor but that was the wrong floor that she send me. I will never fly with Delta.",2.85714285714286,"Not Verified","New Orleans","Kansas City"
"Business","Economy Class","09-21","no",4,5,1,2,3,4,1," I booked a flight for my brother in law coming in from out of town, my wife and my two kids to come on my conference trip with me and stay at the resort in San Diego. My work ended up postponing the trip until April because the Omicron cases were high. My ticket total was 650 dollars. I called Delta to postpone the tickets until April. They said sure, but you will have to pay a 99$ fee for every reschedule. Totaling 300$, and on top of that, I won't even get refunded the 350$. Instead It'll be taken as an e-credit. The customer service was so dry and uncaring about it. I was on hold for 2 hours for a text message associate, that then told me to get connected to customer care, which was another 2 hour wait, then when i got connected I explained my situation and they said I can't help you, but I can add you to the customer care queue. They were the reservation queue. I told them, I didn't really want to stay on hold for another few hours. As I've already been on hold for 4 hours.... they said, Ok, let me check the queue, and abruptly connected me to the customer care queue. Where I ended up waiting another 2 hours. And I still got the same result. Worst airline ever. I'm never flying Delta again.",2.85714285714286,"Not Verified","Chattanooga","Little Rock"
"Couple Leisure","Economy Class","09-21","no",2,3,4,1,1,1,1," I didn’t know such poor service existed the most unbelievable thing I’ve ever experienced. My wife and I were headed to Jamaica. Got to airport in plenty of time there was maybe 30 people in line to check bags, our friends got through and half way through checking our bags the classy individual working the delta counter said times up. No warning nothing, (this is my first time ever flying) then we were handed an 800 number to call for Delta which was even a bigger joke. We ended up booking another flight through American to get to Jamaica after already having paid tickets through delta. Sickening customer service",1.85714285714286,"Trip Verified","El Paso","Norfolk"
"Business","First Class","09-21","no",1,1,1,1,2,3,1," I had a flight from Seattle to Cancun on this Saturday 08th, 2022 and due health problems I had to cancel I tried to call Delta by phone and the waiting time was about 2hrs 45 min, so I found another way via chatting that at the end of the day it was more or less the same to time to make it possible to have an answer from Delta. After that time the person came to me to tell me that no matter ticket was sold by Delta, the flight would be operated by Aeromexico and they cannot do much in regards of cancelling the flight I told the lady I had to wait more than two hours on line to get such answer? What a terrible service.",1.42857142857143,"Trip Verified","Athens","Chicago"
"Couple Leisure","First Class","09-21","yes",2,3,4,5,1,2,3," Purchased the comfort+ option, as to be able to change my flight time if needed at no cost. Delta clearly states this is a benefit of this option when selling it while booking a ticket. Still they charged me $75 to make a change to a later flight on the same day. It’s over 3hrs to wait on the phone for customer service. At the airport every Delta personnel I tried to get help from with this started their response with, ""I’m sorry but unfortunately"".. No one budged to help me in the least. I’m a fairly even-toned individual and have a dry sense of humor so I pointed the Delta typical trainee I’m sorry but unfortunately bs, out to the woman at the gate to have her get extremely loud and embarrassing and I actually get threatened a bit. As I tried to go to a seat, this woman kept approaching me and being loud until I finally had to get somewhat loud myself and ask her to leave me alone. The worst of customer service I've ever experienced.",2.85714285714286,"Trip Verified","Cancun","Salt Lake City"
"Family Leisure","Economy Class","07-21","no",4,5,1,2,1,2,3," This was the first and the last time for sure, not even for free we will fly again with Delta, we thought we've seen it all, nope, Delta is the worst by far. On the way down, the co-pilot didn't show up, waited for an hour for one from New York while we are in the plain. On the way back, Delta's staff in Panama don't know the regulation and don't know English, they didn't know that we don't need a visa to enter USA, made us wait for an hour and half to verify our Canadian passports. Every time we asked, we were treated like criminals, almost lost the flight.",2.57142857142857,"Trip Verified","Kona","San Jose"
"Family Leisure","Economy Class","09-21","no",4,5,1,2,1,2,3,"Orlando to Detroit. I booked a ticket to Detroit from Orlando I have two of my kids with COVID and my dad who I am traveling to testing positive along with his wife and brother. I have been trying to reschedule my flight yesterday and today I was on the phone yesterday on hold waiting for 6 hours and than got disconnected. Today so far I am on hold for four hours and still no one answered.",2.57142857142857,"Trip Verified","La Guardia","Atlanta"
"Solo Leisure","Economy Class","09-21","no",4,5,1,2,3,4,1,"
Our flight started out early morning 40 minutes late from original departure. Knowing we were coming in late Delta decides to close our next flight 5 minutes early at the gate. Next flight we could get, on standby, was 5 hours later. On our first flight there was an attendant yelling at people to keep their mask on while handing them food so they could pull their mask down to eat right after. When my wife went to go politely rebook our flights the Delta clerk rolled her eyes at her. The insanity and lack of compassion from this airline is aggravating so I urge people to not use this airline. The staff have an attitude/entitlement problem and it’s not worth it considering the ticket costs.",2.85714285714286,"Not Verified","Dallas Ft Worth","salt Lake City"
